time,open,high,low,close,volume,spread,real_volume
2025-09-25 06:40:00,4050.16,4056.44,4045.99,4047.51,880,295.0,0
2025-09-25 06:45:00,4047.55,4053.18,4045.74,4046.62,821,295.2,0
2025-09-25 06:50:00,4046.75,4048.07,4036.34,4039.32,823,295.0,0
2025-09-25 06:55:00,4039.31,4064.54,4039.31,4061.69,914,295.4,0
2025-09-25 07:00:00,4061.64,4062.14,4047.92,4053.71,896,295.0,0
2025-09-25 07:05:00,4053.64,4069.87,4050.72,4064.38,838,295.0,0
2025-09-25 07:10:00,4064.26,4064.96,4040.66,4046.91,911,295.2,0
2025-09-25 07:15:00,4046.9,4047.6,4006.02,4010.53,1551,295.0,0
2025-09-25 07:20:00,4010.79,4033.77,4009.01,4032.31,1483,295.2,0
2025-09-25 07:25:00,4032.34,4036.23,4026.64,4033.69,1011,295.0,0
2025-09-25 07:30:00,4033.88,4033.88,4019.77,4026.48,1143,295.2,0
2025-09-25 07:35:00,4026.58,4029.93,4008.19,4013.27,1041,295.0,0
2025-09-25 07:40:00,4013.13,4039.5,4011.85,4037.94,1149,295.0,0
2025-09-25 07:45:00,4037.97,4041.58,4017.93,4018.07,1044,295.0,0
2025-09-25 07:50:00,4018.42,4019.85,3965.16,3997.83,1362,295.0,0
2025-09-25 07:55:00,3997.75,4011.44,3986.49,4000.68,1512,295.0,0
2025-09-25 08:00:00,4000.78,4008.28,3977.05,4003.42,1449,295.0,0
2025-09-25 08:05:00,4003.44,4015.37,3998.05,4010.09,1278,295.0,0
2025-09-25 08:10:00,4010.12,4019.73,4010.1,4012.74,1002,295.0,0
2025-09-25 08:15:00,4012.92,4034.96,4011.92,4027.09,1032,295.0,0
2025-09-25 08:20:00,4027.28,4036.54,4023.58,4035.49,958,295.2,0
2025-09-25 08:25:00,4035.57,4039.11,4029.27,4032.32,906,295.0,0
2025-09-25 08:30:00,4032.33,4032.8,4026.22,4029.26,783,295.0,0
2025-09-25 08:35:00,4029.3,4029.41,4020.88,4026.41,815,295.0,0
2025-09-25 08:40:00,4026.4,4032.77,4024.09,4027.56,656,295.4,0
2025-09-25 08:45:00,4027.55,4030.86,4016.03,4023.42,878,295.0,0
2025-09-25 08:50:00,4023.27,4030.57,4020.86,4024.4,709,295.0,0
2025-09-25 08:55:00,4024.44,4029.29,4023.35,4023.89,607,295.2,0
2025-09-25 09:00:00,4023.99,4027.14,4014.68,4015.95,902,295.0,0
2025-09-25 09:05:00,4015.96,4021.72,4004.76,4010.17,1045,295.0,0
2025-09-25 09:10:00,4010.2,4014.0,4003.67,4004.54,831,295.0,0
2025-09-25 09:15:00,4004.33,4015.07,3995.33,4014.26,1228,295.0,0
2025-09-25 09:20:00,4014.36,4019.6,4007.8,4012.17,968,295.0,0
2025-09-25 09:25:00,4012.15,4013.56,4000.76,4003.84,904,295.0,0
2025-09-25 09:30:00,4003.89,4013.51,4003.89,4010.86,907,295.0,0
2025-09-25 09:35:00,4011.19,4016.14,4005.77,4014.3,793,295.0,0
2025-09-25 09:40:00,4014.4,4015.53,3999.56,4000.16,829,295.0,0
2025-09-25 09:45:00,4000.16,4009.48,3998.79,4001.45,912,295.0,0
2025-09-25 09:50:00,4001.5,4003.71,3995.34,3997.03,785,295.0,0
2025-09-25 09:55:00,3997.02,3997.98,3992.59,3996.11,792,295.6,0
2025-09-25 10:00:00,3996.52,3998.41,3991.18,3996.19,996,295.0,0
2025-09-25 10:05:00,3996.62,4009.33,3984.6,4000.42,1242,295.0,0
2025-09-25 10:10:00,4000.47,4004.74,3994.26,3998.52,912,295.0,0
2025-09-25 10:15:00,3998.71,4017.2,3996.99,4013.25,1115,295.2,0
2025-09-25 10:20:00,4013.27,4015.84,4004.73,4006.7,794,295.0,0
2025-09-25 10:25:00,4006.28,4012.87,4004.65,4011.2,712,295.0,0
2025-09-25 10:30:00,4011.17,4016.43,4008.44,4009.86,755,295.2,0
2025-09-25 10:35:00,4009.8,4019.96,4009.32,4015.36,774,295.0,0
2025-09-25 10:40:00,4015.34,4020.51,4014.35,4016.71,676,295.0,0
2025-09-25 10:45:00,4016.92,4018.62,4010.92,4013.18,616,295.2,0
2025-09-25 10:50:00,4012.94,4013.1,4009.02,4011.42,563,295.2,0
2025-09-25 10:55:00,4011.42,4012.44,4004.65,4007.75,535,295.4,0
2025-09-25 11:00:00,4007.66,4027.78,4007.21,4026.77,830,295.0,0
2025-09-25 11:05:00,4026.7,4029.43,4019.49,4022.43,766,295.0,0
2025-09-25 11:10:00,4022.25,4030.85,4022.22,4030.31,580,295.2,0
2025-09-25 11:15:00,4030.76,4034.38,4023.22,4023.9,859,295.2,0
2025-09-25 11:20:00,4023.92,4025.42,4021.78,4022.52,505,295.4,0
2025-09-25 11:25:00,4022.54,4031.76,4020.92,4031.24,465,295.0,0
2025-09-25 11:30:00,4031.18,4031.3,4022.81,4026.87,523,295.2,0
2025-09-25 11:35:00,4026.46,4026.46,4019.45,4021.63,513,295.4,0
2025-09-25 11:40:00,4021.49,4023.0,4008.72,4010.61,591,295.4,0
2025-09-25 11:45:00,4010.76,4012.94,4002.79,4007.29,948,295.0,0
2025-09-25 11:50:00,4007.13,4011.37,4002.22,4004.69,803,295.0,0
2025-09-25 11:55:00,4004.7,4014.42,4003.51,4013.8,703,295.2,0
2025-09-25 12:00:00,4013.88,4022.11,4011.19,4016.95,569,295.2,0
2025-09-25 12:05:00,4016.87,4028.83,4016.06,4028.62,665,295.2,0
2025-09-25 12:10:00,4028.65,4032.38,4026.3,4031.78,491,295.6,0
2025-09-25 12:15:00,4031.75,4044.94,4026.79,4036.23,699,295.0,0
2025-09-25 12:20:00,4036.32,4041.46,4031.98,4041.45,629,295.0,0
2025-09-25 12:25:00,4041.46,4044.37,4036.15,4037.13,546,295.0,0
2025-09-25 12:30:00,4037.09,4051.19,4036.65,4047.17,614,295.2,0
2025-09-25 12:35:00,4047.1,4051.21,4043.97,4044.18,599,295.4,0
2025-09-25 12:40:00,4044.04,4044.42,4036.13,4036.37,525,295.0,0
2025-09-25 12:45:00,4036.38,4036.39,4029.34,4030.83,582,295.2,0
2025-09-25 12:50:00,4030.84,4031.39,4025.08,4026.66,400,295.4,0
2025-09-25 12:55:00,4026.77,4027.15,4020.67,4023.41,598,295.2,0
2025-09-25 13:00:00,4023.38,4026.1,4017.46,4023.5,621,295.2,0
2025-09-25 13:05:00,4023.61,4028.96,4022.21,4028.68,530,295.2,0
2025-09-25 13:10:00,4028.8,4032.55,4026.27,4029.09,417,295.2,0
2025-09-25 13:15:00,4029.19,4037.79,4029.19,4032.45,535,295.0,0
2025-09-25 13:20:00,4032.48,4041.37,4030.82,4041.14,442,295.6,0
2025-09-25 13:25:00,4041.08,4041.08,4028.87,4028.89,421,295.4,0
2025-09-25 13:30:00,4028.91,4029.2,4023.98,4028.84,435,295.0,0
2025-09-25 13:35:00,4028.89,4031.44,4024.21,4027.92,470,295.0,0
2025-09-25 13:40:00,4027.89,4028.09,4018.33,4019.61,517,295.6,0
2025-09-25 13:45:00,4019.64,4020.69,4013.07,4014.41,552,295.0,0
2025-09-25 13:50:00,4014.36,4015.09,4008.03,4012.73,597,295.2,0
2025-09-25 13:55:00,4012.77,4016.27,4010.81,4012.16,405,295.2,0
2025-09-25 14:00:00,4012.17,4018.41,4009.83,4016.99,649,295.4,0
2025-09-25 14:05:00,4016.97,4016.97,4003.51,4004.56,636,295.0,0
2025-09-25 14:10:00,4004.57,4007.91,3989.83,4003.16,982,295.0,0
2025-09-25 14:15:00,4003.15,4005.35,3994.02,4002.42,958,295.0,0
2025-09-25 14:20:00,4002.15,4004.81,3995.14,4000.48,859,295.0,0
2025-09-25 14:25:00,4000.46,4007.38,3997.92,4005.78,645,295.4,0
2025-09-25 14:30:00,4005.72,4008.36,4000.31,4004.4,629,295.2,0
2025-09-25 14:35:00,4004.37,4008.72,4001.19,4005.75,712,295.2,0
2025-09-25 14:40:00,4005.73,4008.36,3997.81,3997.92,580,295.2,0
2025-09-25 14:45:00,3998.3,4003.06,3992.81,3997.06,899,295.0,0
2025-09-25 14:50:00,3997.17,4003.89,3993.74,4002.66,711,295.2,0
2025-09-25 14:55:00,4002.72,4004.44,3997.66,4001.02,563,295.2,0
2025-09-25 15:00:00,4000.98,4011.85,3999.44,4009.78,592,295.6,0
2025-09-25 15:05:00,4009.75,4014.93,4003.74,4013.61,678,295.0,0
2025-09-25 15:10:00,4013.7,4014.28,4008.18,4009.66,503,295.0,0
2025-09-25 15:15:00,4009.61,4010.0,3999.67,3999.74,557,295.4,0
2025-09-25 15:20:00,3999.84,4009.81,3997.72,4003.32,714,295.0,0
2025-09-25 15:25:00,4003.36,4007.65,3925.63,3942.87,1164,295.0,0
2025-09-25 15:30:00,3943.25,3990.83,3923.53,3984.6,2066,295.0,0
2025-09-25 15:35:00,3984.48,4000.84,3972.32,3976.79,1609,295.0,0
2025-09-25 15:40:00,3976.96,4003.27,3975.98,3994.45,1253,295.0,0
2025-09-25 15:45:00,3994.33,3999.3,3981.58,3997.17,1313,295.0,0
2025-09-25 15:50:00,3997.14,3997.71,3989.43,3989.9,1115,295.2,0
2025-09-25 15:55:00,3989.91,3989.91,3975.61,3977.06,1101,295.0,0
2025-09-25 16:00:00,3977.04,3979.63,3962.41,3964.16,1445,295.0,0
2025-09-25 16:05:00,3964.19,3971.29,3953.7,3960.49,1539,295.0,0
2025-09-25 16:10:00,3960.57,3978.09,3956.65,3974.6,1187,295.0,0
2025-09-25 16:15:00,3974.55,4004.76,3967.17,3996.32,1444,295.0,0
2025-09-25 16:20:00,3996.87,4005.56,3992.55,3999.03,1125,295.0,0
2025-09-25 16:25:00,3999.01,4005.67,3995.1,4001.32,1112,295.0,0
2025-09-25 16:30:00,4001.21,4003.15,3987.16,3990.48,1570,295.0,0
2025-09-25 16:35:00,3990.48,3992.78,3961.67,3963.16,1509,295.2,0
2025-09-25 16:40:00,3963.18,3964.6,3943.11,3957.01,1636,295.0,0
2025-09-25 16:45:00,3957.17,3970.85,3954.96,3962.53,1511,295.0,0
2025-09-25 16:50:00,3962.52,3973.54,3957.73,3962.58,1403,295.0,0
2025-09-25 16:55:00,3962.67,3968.83,3952.49,3968.83,1311,295.0,0
2025-09-25 17:00:00,3968.66,3982.56,3967.09,3979.28,1409,295.0,0
2025-09-25 17:05:00,3979.3,3994.01,3978.33,3990.92,1198,295.0,0
2025-09-25 17:10:00,3990.92,4000.93,3985.51,3999.37,1101,295.0,0
2025-09-25 17:15:00,3999.41,4018.16,3999.41,4016.73,1286,295.0,0
2025-09-25 17:20:00,4016.69,4018.63,4008.7,4017.75,1158,295.2,0
2025-09-25 17:25:00,4017.66,4019.01,4005.43,4006.36,1039,295.0,0
2025-09-25 17:30:00,4006.4,4020.96,4005.68,4020.28,992,295.2,0
2025-09-25 17:35:00,4020.17,4020.63,4004.33,4009.87,1000,295.2,0
2025-09-25 17:40:00,4009.86,4018.99,4005.5,4013.62,896,295.0,0
2025-09-25 17:45:00,4013.76,4018.37,4009.81,4011.8,783,295.4,0
2025-09-25 17:50:00,4011.8,4011.83,4002.41,4006.13,900,295.2,0
2025-09-25 17:55:00,4005.99,4015.91,4005.99,4012.39,661,295.4,0
2025-09-25 18:00:00,4012.27,4015.25,4002.84,4004.4,743,295.4,0
2025-09-25 18:05:00,4004.59,4009.57,3991.66,3997.67,878,295.0,0
2025-09-25 18:10:00,3997.68,4006.36,3995.32,4002.81,671,295.0,0
2025-09-25 18:15:00,4002.8,4005.59,3997.82,3998.82,839,295.0,0
2025-09-25 18:20:00,3999.09,3999.58,3983.43,3983.43,876,295.0,0
2025-09-25 18:25:00,3983.37,3988.76,3978.75,3987.79,970,295.2,0
2025-09-25 18:30:00,3987.85,4001.44,3986.73,4000.01,949,295.0,0
2025-09-25 18:35:00,4000.11,4005.79,3998.58,4005.79,808,295.0,0
2025-09-25 18:40:00,4005.81,4006.54,3996.71,3997.98,720,295.0,0
2025-09-25 18:45:00,3997.97,4001.33,3992.72,4000.83,762,295.0,0
2025-09-25 18:50:00,4000.94,4003.38,3990.08,3994.9,819,295.0,0
2025-09-25 18:55:00,3995.48,4001.56,3993.63,4001.54,670,295.0,0
2025-09-25 19:00:00,4001.63,4005.06,3993.68,3994.05,940,295.0,0
2025-09-25 19:05:00,3994.05,4004.38,3992.57,3998.94,879,295.0,0
2025-09-25 19:10:00,3998.94,4002.34,3994.64,3996.7,837,295.0,0
2025-09-25 19:15:00,3996.7,3996.7,3981.42,3983.65,1034,295.2,0
2025-09-25 19:20:00,3983.9,3987.35,3974.28,3980.16,933,295.0,0
2025-09-25 19:25:00,3980.2,3980.64,3962.09,3965.17,1126,295.0,0
2025-09-25 19:30:00,3965.07,3977.23,3963.51,3973.87,1038,295.0,0
2025-09-25 19:35:00,3973.51,3973.51,3962.82,3963.24,890,295.0,0
